brand,category,confidence,user
Boston Red Sox,Sports League,100,79
Domaine Chandon California,Alcoholic Beverages,98,79
Boston Red Sox,Sports League,96,79
Dunkin' Donuts,Coffee,100,79
Toronto Blue Jays,Sports League,100,12
New England Patriots,Sports League,100,98
Warner Bros.,Movies,100,98
NBC International,Media (communication),100,98
Ford,Automobiles,100,98
Northeastern University,Education,100,98
Northeastern University,Education,98,98
Northeastern University,Education,99,59
Northeastern University,Education,93,59
Northeastern University,Education,100,59
Northeastern University,Education,100,59
Nike,Fitness Apparel,100,59
Adidas,Fitness Apparel,100,59
Pepsi,Soda,100,98
Coca Cola,Soda,92,59
Nike,Fitness Apparel,100,59
Northeastern University,Education,100,59
Adidas,Fitness Apparel,100,59
Northeastern University,Education,100,59
Nike,Fitness Apparel,100,59
Nike,Fitness Apparel,100,59
Northeastern University,Education,100,59
Louis Vuitton,Luxury Goods,100,59
LG,Consumer Electronics,100,96
Kia,Automobiles,91,96
Alfa Romeo,Automobiles,100,96
Geico,Financial Services,100,96
Genesee,Alcoholic Beverages,100,96
Genesee,Alcoholic Beverages,97,96
Xfinity,Media (communication),100,96
Everlast Apparel,Fitness Apparel,95,96
Dunkin' Donuts,Coffee,100,96
Popeyes Louisiana Kitchen,Fast Food,97,96
Coleman,Sports and Outdoors,97,96
Twitter,Social Network,83,96
Subaru,Automobiles,100,96
New Belgium,Alcoholic Beverages,100,96
Bud Light,Alcoholic Beverages,99,96
Bud Light,Alcoholic Beverages,98,96
Bud Light,Alcoholic Beverages,96,96
The North Face,Sports and Outdoors,100,83
The North Face,Sports and Outdoors,100,83
Ford,Automobiles,95,83
The North Face,Sports and Outdoors,83,83
Starbucks,Coffee,100,83
The North Face,Sports and Outdoors,97,83
The North Face,Sports and Outdoors,100,83
The North Face,Sports and Outdoors,100,83
The North Face,Sports and Outdoors,100,83
Hubspot,Software,82,11
Russell Stover,Candy,100,83
Dunkin' Donuts,Coffee,99,11
Bank of America,Financial Services,90,11
Ford,Automobiles,86,11
National Car Rental,Car Rentals,98,11
John Hancock,Financial Services,94,11
Hubspot,Software,100,11
Bank of America,Financial Services,90,11
New England Patriots,Sports League,100,58
Canon,Consumer Electronics,100,58
Canon,Consumer Electronics,100,58
New York Yankees,Sports League,96,8
Delta Airlines,Air Travel,100,8
Captain America,Superhero,100,8
Captain America,Superhero,100,8
Dunkin' Donuts,Coffee,100,85
Ford,Automobiles,86,85
Adidas,Fitness Apparel,100,60
Seattle Sounders FC,Sports League,99,60
Adidas,Fitness Apparel,100,60
Seattle Sounders FC,Sports League,98,60
Adidas,Fitness Apparel,100,60
Seattle Sounders FC,Sports League,100,60
Nikon,Consumer Electronics,100,60
Garmin,Consumer Electronics,100,74
Seattle Seahawks,Sports League,100,60
Garmin,Consumer Electronics,100,74
Garmin,Consumer Electronics,100,74
Garmin,Consumer Electronics,99,74
NFL,Sports League,100,60
Seattle Seahawks,Sports League,81,60
Google,Technology,100,74
Garmin,Consumer Electronics,100,74
New Balance,Fitness Apparel,100,74
New Balance,Fitness Apparel,91,74
Garmin,Consumer Electronics,100,74
Garmin,Consumer Electronics,100,74
Garmin,Consumer Electronics,100,74
New England Patriots,Sports League,90,74
Puma,Fitness Apparel,100,74
Garmin,Consumer Electronics,100,74
Bank of America,Financial Services,100,111
Amazon,E-commerce,100,2
Heineken,Alcoholic Beverages,100,111
Heineken,Alcoholic Beverages,100,111
Heineken,Alcoholic Beverages,100,111
Cincinnati Reds,Sports League,100,2
Hanes,Clothing,100,2
