confidence,label,second_level,url,user
90,photograph,Art,8781,79
60,bride,Family & Relationships,8781,79
44,dress,Fashion Accessories,8781,79
40,ceremony,Family & Relationships,8781,79
33,woman,Family & Relationships,8781,79
25,wedding,Family & Relationships,8781,79
83,soil,Landscaping,11324,79
59,agriculture,Agriculture,11324,79
25,rural area,Real Estate,11324,79
24,field,Agriculture,11324,79
23,tree,Agriculture,11324,79
16,landscape,Landscaping,11324,79
84,ceremony,Family & Relationships,13613,79
78,bride,Family & Relationships,13613,79
73,wedding,Family & Relationships,13613,79
51,groom,Family & Relationships,13613,79
47,event,Live Events,13613,79
26,marriage,Family & Relationships,13613,79
25,festival,Holidays,8231,79
17,clothing,Clothing,8231,79
11,people,People,8231,79
64,pet,Wild Animals,12981,79
32,mammal,Wild Animals,12981,79
29,dog,Wild Animals,12981,79
16,image,Art,12981,79
14,animal,Wild Animals,12981,79
93,beach,Terrain,9450,79
93,vacation,Travel,9450,79
81,sea,Terrain,9450,79
56,sand,Terrain,9450,79
52,sun tanning,Beauty,9450,79
51,people,People,9450,79
25,people,People,4172,79
15,tourism,Travel,4172,79
14,crowd,People,4172,79
90,people,Family & Relationships,13101,79
42,social group,Family & Relationships,13101,79
38,youth,Family & Relationships,13101,79
18,team,Family & Relationships,13101,79
13,sports,Sports,13101,79
88,person,People,3661,79
80,endurance,Outdoor Recreation,3661,79
79,running,Outdoor Recreation,3661,79
79,athletics,Outdoor Recreation,3661,79
77,outdoor recreation,Outdoor Recreation,3661,79
71,recreation,Outdoor Recreation,3661,79
84,tree,"Flowers, Plants, Trees",11085,79
63,woodland,Terrain,11085,79
62,people,People,11085,79
53,forest,Terrain,11085,79
49,garden,Landscaping,11085,79
43,flower,"Flowers, Plants, Trees",11085,79
54,evening,Seasons,13938,79
45,night,Seasons,13938,79
41,people,People,13938,79
33,autumn,Seasons,13938,79
27,christmas decoration,Seasons,13938,79
18,christmas,Seasons,13938,79
87,drink,Food,14532,79
55,beverage,Food,14532,79
49,food,Food,14532,79
32,beer,Food,14532,79
31,dessert,Food,14532,79
14,beer cocktail,Food,14532,79
40,singing,Music,978,79
37,music,Music,978,79
37,photograph,Art,978,79
28,person,People,978,79
23,nightclub,Music,978,79
22,image,Art,978,79
88,landmark,Nonbuilding Structures,6596,79
52,architecture,"Cities, Towns, & Buildings",6596,79
38,facade,"Cities, Towns, & Buildings",6596,79
31,structure,Nonbuilding Structures,6596,79
26,roof,House,6596,79
23,monument,"Cities, Towns, & Buildings",6596,79
44,image,Art,789,79
25,person,People,789,79
15,musician,Music,789,79
13,music,Music,789,79
32,fashion,Fashion Accessories,3380,79
28,person,People,3380,79
24,clothing,Fashion Accessories,3380,79
23,lady,People,3380,79
20,dress,Fashion Accessories,3380,79
17,singing,Music,3380,79
98,beach,Body of Water,9071,79
90,sea,Body of Water,9071,79
89,vacation,Travel,9071,79
86,shore,Body of Water,9071,79
79,body of water,Body of Water,9071,79
75,ocean,Body of Water,9071,79
95,night,Time of Day,14115,79
84,road,Roads and Bridges,14115,79
82,evening,Time of Day,14115,79
81,metropolitan area,Roads and Bridges,14115,79
81,lighting,Electricity & Lighting,14115,79
79,downtown,Roads and Bridges,14115,79
20,album cover,Music,1329,79
12,photograph,Art,1329,79
66,vehicle,Automotive,2743,79
54,wing,Automotive,2743,79
33,wheel,Automotive,2743,79
32,airplane,Automotive,2743,79
29,aircraft,Automotive,2743,79
25,aircraft engine,Automotive,2743,79
91,people,People,6009,79
68,photography,Art,6009,79
66,photograph,Art,6009,79
59,person,People,6009,79
52,monochrome photography,Art,6009,79
31,monochrome,Art,6009,79
91,photograph,Art,1649,79
91,image,Art,1649,79
48,monument,Roads and Bridges,1649,79
41,statue,Nonbuilding Structures,1649,79
40,art,Art,1649,79
31,street,Roads and Bridges,1649,79
69,people,Family & Relationships,7046,79
38,image,Art,7046,79
30,photograph,Art,7046,79
27,social group,Family & Relationships,7046,79
24,meal,Food,7046,79
18,musician,Music,7046,79
70,grass,Landscaping,2094,79
50,lawn,Landscaping,2094,79
25,sports,Sports,2094,79
24,sport venue,Sports,2094,79
19,structure,Nonbuilding Structures,2094,79
12,green,Color,2094,79
39,people,People,13493,79
11,youth,People,13493,79
45,person,People,2208,79
27,image,Art,2208,79
12,photograph,Art,2208,79
97,snow,Weather,9299,79
95,winter,Seasons,9299,79
91,mountainous landforms,Terrain,9299,79
90,mountain,Terrain,9299,79
86,mountain range,Terrain,9299,79
84,season,Seasons,9299,79
78,people,Family & Relationships,5059,79
55,image,Color,5059,79
47,social group,Family & Relationships,5059,79
35,photograph,Color,5059,79
33,crowd,Family & Relationships,5059,79
11,color,Color,5059,79
69,lion,Wild Animals,9429,79
67,mammal,Wild Animals,9429,79
65,fauna,"Flowers, Plants, Trees",9429,79
65,wildlife,Wild Animals,9429,79
51,animal,Wild Animals,9429,79
38,big cats,Wild Animals,9429,79
89,sports car,Automotive,11487,79
89,vehicle,Automotive,11487,79
79,car,Automotive,11487,79
76,supercar,Automotive,11487,79
32,race car,Automotive,11487,79
28,performance car,Automotive,11487,79
60,people,Family & Relationships,7735,79
30,crowd,Family & Relationships,7735,79
18,social group,Family & Relationships,7735,79
15,festival,Holidays,7735,79
13,person,Family & Relationships,7735,79
76,musical theatre,Live Events,1900,79
74,musician,Live Events,1900,79
68,audience,Live Events,1900,79
57,social group,Family & Relationships,1900,79
24,people,Family & Relationships,1900,79
23,singing,Live Events,1900,79
92,food,Food,12356,79
83,dessert,Food,12356,79
60,dish,Food,12356,79
57,produce,Food,12356,79
43,meal,Food,12356,79
38,baked goods,Food,12356,79
80,vehicle,Transportation / Shipping,9622,79
60,car,Transportation / Shipping,9622,79
38,transport,Transportation / Shipping,9622,79
38,airplane,Transportation / Shipping,9622,79
35,aviation,Transportation / Shipping,9622,79
26,driving,Transportation / Shipping,9622,79
83,person,People,14854,12
76,people,People,14854,12
53,adolescence,People,14854,12
22,woman,People,14854,12
19,female,People,14854,12
17,smile,People,14854,12
57,yellow,Color,7874,12
48,color,Color,7874,12
20,singing,Live Events,7874,12
15,red,Color,7874,12
14,beauty,Beauty,7874,12
12,stage,Live Events,7874,12
46,fair,Live Events,2353,12
25,art,Art,2353,12
56,drink,Beverages,517,79
55,beverage,Beverages,517,79
20,brand,Retail,517,79
20,bottle,Beverages,517,79
14,wine,Beverages,517,79
98,skyline,"Cities, Towns, & Buildings",13548,12
94,city,"Cities, Towns, & Buildings",13548,12
93,horizon,Sky,13548,12
93,cityscape,"Cities, Towns, & Buildings",13548,12
86,skyscraper,"Cities, Towns, & Buildings",13548,12
85,landmark,Nonbuilding Structures,13548,12
88,art,Color,3966,12
77,mural,Color,3966,12
51,urban area,Real Estate,3966,12
39,graffiti,Color,3966,12
25,street art,Color,3966,12
24,color,Color,3966,12
57,meal,Food,4842,79
49,restaurant,Restaurants,4842,79
31,shape,Color,4842,79
26,dinner,Food,4842,79
24,food,Food,4842,79
14,color,Color,4842,79
86,facial hair,Beauty,4256,79
