age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
30-39,white,54,female,99,99,"[46, 13, 7, 7]",13493,79
30-39,white,74,female,99,99,"[16, 16, 10, 10]",13493,79
30-39,white,65,female,98,99,"[60, 13, 7, 7]",13493,79
40-49,white,87,female,99,99,"[76, 15, 8, 8]",13493,79
30-39,white,82,female,98,61,"[47, 17, 6, 6]",13613,79
30-39,white,93,male,99,93,"[39, 8, 8, 8]",8231,79
40-49,white,90,male,93,88,"[92, 11, 6, 6]",8231,79
20-29,white,90,female,80,99,"[24, 24, 15, 15]",3661,79
30-39,white,99,female,99,98,"[55, 27, 14, 14]",3661,79
30-39,white,90,female,96,99,"[41, 15, 8, 8]",2929,79
20-29,white,98,female,97,98,"[19, 45, 8, 6]",9450,79
30-39,white,95,female,99,98,"[60, 42, 8, 6]",9450,79
40-49,white,92,female,98,88,"[33, 45, 7, 5]",9450,79
40-49,white,97,female,90,57,"[48, 43, 7, 5]",9450,79
50-59,white,82,male,98,99,"[25, 42, 6, 6]",13101,79
40-49,white,85,male,99,98,"[82, 24, 6, 6]",13101,79
40-49,white,80,male,99,77,"[40, 21, 6, 6]",13101,79
30-39,white,99,male,76,61,"[23, 21, 6, 6]",13101,79
40-49,white,83,male,99,51,"[14, 21, 6, 6]",13101,79
30-39,white,71,male,95,99,"[19, 9, 8, 8]",9096,12
20-29,white,98,female,99,99,"[49, 40, 8, 8]",1900,79
20-29,white,64,female,99,99,"[66, 44, 10, 10]",1900,79
30-39,white,88,female,98,99,"[13, 41, 8, 8]",1900,79
30-39,white,97,female,99,96,"[82, 43, 10, 10]",1900,79
30-39,white,99,female,99,87,"[34, 40, 8, 8]",1900,79
50-59,white,85,male,94,91,"[59, 19, 17, 17]",13093,79
40-49,white,97,male,59,58,"[27, 31, 17, 17]",13093,79
13-19,white,98,female,99,99,"[42, 27, 21, 21]",7874,12
30-39,white,62,female,99,99,"[23, 37, 17, 17]",4323,79
50-59,white,66,male,99,99,"[49, 16, 21, 21]",4323,79
30-39,white,91,female,97,87,"[42, 18, 5, 5]",5059,79
30-39,white,98,female,99,99,"[59, 30, 7, 7]",8605,79
40-49,white,85,female,99,99,"[76, 34, 8, 8]",8605,79
30-39,white,83,female,97,96,"[46, 28, 7, 7]",8605,79
30-39,white,97,female,99,94,"[35, 29, 8, 8]",8605,79
20-29,white,97,female,99,99,"[43, 16, 12, 12]",4464,12
20-29,white,93,female,99,99,"[56, 18, 12, 12]",2353,12
20-29,white,95,male,99,98,"[29, 12, 10, 10]",2353,12
20-29,white,82,female,99,99,"[24, 30, 10, 10]",7046,79
20-29,white,94,female,90,99,"[60, 26, 10, 10]",7046,79
30-39,white,64,female,90,78,"[42, 35, 10, 10]",7046,79
30-39,white,85,female,98,99,"[9, 46, 31, 24]",6009,79
30-39,white,93,female,98,99,"[42, 38, 25, 20]",6009,79
30-39,white,98,male,99,72,"[56, 17, 25, 20]",6009,79
20-29,hispanic or latino,60,male,98,99,"[40, 20, 7, 7]",11085,79
30-39,white,66,female,99,99,"[50, 27, 6, 6]",11085,79
13-19,white,99,female,99,99,"[42, 57, 8, 7]",10215,12
30-39,white,95,female,99,99,"[65, 30, 25, 25]",6216,79
20-29,hispanic or latino,45,male,99,99,"[43, 6, 22, 22]",2208,79
20-29,hispanic or latino,59,male,98,82,"[7, 23, 37, 37]",7735,79
20-29,white,82,female,97,99,"[28, 22, 10, 10]",4467,79
20-29,white,96,female,92,96,"[63, 17, 7, 7]",4467,79
30-39,white,97,female,98,91,"[43, 17, 8, 8]",4467,79
0-12,white,99,female,99,99,"[31, 22, 10, 8]",12713,98
20-29,white,99,female,99,95,"[57, 29, 4, 6]",8758,98
13-19,white,94,male,99,99,"[36, 60, 8, 8]",4961,12
30-39,asian,45,female,99,99,"[16, 62, 8, 8]",4961,12
13-19,white,98,female,99,99,"[53, 62, 8, 8]",4961,12
20-29,asian,57,female,97,97,"[70, 65, 8, 8]",4961,12
30-39,white,98,female,96,99,"[53, 35, 10, 10]",7845,12
20-29,white,86,female,98,99,"[31, 35, 8, 8]",7845,12
20-29,white,62,female,97,98,"[81, 26, 10, 10]",7845,12
20-29,white,90,female,96,71,"[8, 35, 10, 10]",7845,12
20-29,white,99,female,99,99,"[47, 48, 8, 8]",4041,98
20-29,white,97,female,99,98,"[36, 49, 8, 8]",4041,98
30-39,white,70,female,99,82,"[36, 13, 25, 25]",978,79
30-39,white,95,female,99,99,"[52, 15, 12, 12]",3380,79
30-39,white,99,female,99,99,"[27, 12, 12, 12]",3380,79
20-29,white,93,female,99,99,"[57, 40, 12, 12]",1329,79
20-29,white,98,female,95,99,"[20, 64, 14, 14]",1329,79
20-29,white,96,male,92,84,"[38, 45, 10, 10]",1329,79
30-39,white,70,female,98,99,"[49, 48, 6, 6]",1649,79
40-49,white,93,female,99,99,"[40, 36, 6, 6]",4376,12
50-59,white,97,male,97,99,"[57, 33, 8, 8]",4376,12
20-29,white,98,male,99,99,"[69, 34, 10, 10]",4376,12
20-29,white,88,female,99,99,"[20, 43, 10, 10]",4376,12
20-29,asian,97,female,99,99,"[27, 10, 25, 25]",2891,12
20-29,black or african american,78,female,75,74,"[27, 28, 15, 11]",14286,59
30-39,white,65,male,86,87,"[62, 14, 6, 6]",3601,12
30-39,hispanic or latino,50,male,99,99,"[72, 14, 8, 8]",10983,59
20-29,black or african american,97,male,99,99,"[74, 57, 8, 8]",10983,59
