user,url
2,5
10,72
88,99
74,173
98,76
85,8
67,85
85,147
46,129
65,34
92,168
96,100
31,0
78,36
21,187
109,175
89,114
41,19
31,128
82,2
23,74
99,112
56,52
74,195
1,98
31,89
100,62
7,44
58,94
62,32
70,122
84,103
44,142
43,88
15,106
81,115
76,95
73,192
44,199
2,40
28,144
83,137
57,101
29,189
26,91
72,69
22,119
26,70
11,120
96,7
74,145
85,21
62,45
107,22
25,194
4,179
7,170
102,14
11,116
87,33
48,164
2,73
28,193
42,13
25,90
87,39
22,167
16,180
43,182
109,61
55,57
28,84
81,165
78,48
42,17
94,163
32,83
12,10
98,148
23,47
28,156
61,63
53,154
1,3
93,150
1,198
34,97
87,169
0,42
102,79
71,50
64,107
19,41
71,196
14,141
64,181
85,54
47,188
46,12
43,160
46,60
17,105
107,132
51,43
29,157
19,80
16,96
23,143
98,37
55,75
70,117
76,66
48,185
51,31
48,159
37,49
21,153
7,178
1,184
22,177
15,108
19,78
41,9
100,104
103,123
44,16
99,55
96,6
6,135
83,82
55,38
58,190
53,46
49,136
0,118
100,65
6,92
84,124
39,125
28,56
79,29
99,93
60,139
55,110
26,58
22,27
70,127
42,146
50,81
57,71
54,25
49,86
58,28
64,111
33,35
50,183
90,161
42,18
0,23
18,155
97,24
89,158
47,51
17,113
78,152
31,64
66,1
5,109
93,87
74,53
34,166
42,20
96,30
29,172
19,15
49,121
70,102
15,59
5,171
67,67
78,197
93,149
57,140
10,130
87,151
88,68
69,131
66,11
13,4
19,176
73,191
37,138
26,133
21,126
82,26
27,77
83,186
68,134
100,162
64,174
