user,url
2,137
10,81
88,48
74,77
98,161
85,99
67,80
85,142
46,18
65,139
92,192
96,27
31,0
78,36
21,130
109,92
89,101
41,107
31,132
82,83
23,43
99,91
56,108
74,50
1,59
31,187
100,69
7,1
58,76
62,13
70,190
84,7
44,165
43,6
15,140
81,2
76,110
73,106
44,163
2,176
28,128
83,171
57,159
29,56
26,3
72,17
22,16
26,166
11,10
96,154
74,84
85,124
62,194
107,62
25,28
4,22
7,74
102,174
11,53
87,153
48,182
2,31
28,14
42,39
25,135
87,100
22,193
16,120
43,40
109,162
55,123
28,109
81,198
78,90
42,68
94,37
32,173
12,9
98,129
23,102
28,175
61,93
53,183
1,172
93,38
1,149
34,79
87,65
0,58
102,96
71,103
64,160
19,180
71,82
14,97
64,141
85,52
47,168
46,70
43,41
46,146
17,121
107,112
51,89
29,19
19,116
16,155
23,71
98,21
55,184
70,49
76,164
48,131
51,32
48,60
37,44
21,197
7,4
1,152
22,167
15,115
19,114
41,34
100,195
103,64
44,66
99,138
96,45
6,67
83,11
55,117
58,78
53,23
49,150
0,94
100,143
6,12
84,186
39,47
28,185
79,196
99,30
60,118
55,156
26,85
22,63
70,177
42,127
50,144
57,75
54,157
49,133
58,111
64,5
33,72
50,29
90,86
42,24
0,199
18,46
97,178
89,119
47,73
17,33
78,136
31,104
66,8
5,26
93,169
74,35
34,105
42,191
96,42
29,179
19,98
49,113
70,54
15,148
5,145
67,122
78,125
93,51
57,181
10,188
87,87
88,151
69,57
66,25
13,88
19,126
73,189
37,158
26,134
21,95
82,61
27,147
83,15
68,170
100,20
64,55
